customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,cluster,segment_name,business_label,vp_marketing_read,recommended_action
col_unique_000001,454,1,1024900.0,2,1,4,214,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000003,239,1,325200.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000005,246,1,399700.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000006,273,2,452300.0,3,4,3,343,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000007,553,1,661700.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000010,466,1,85800.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000011,324,1,95300.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000012,380,1,471800.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000016,687,1,954500.0,1,1,4,114,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000017,311,1,1023000.0,3,1,4,314,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000018,187,1,189000.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000019,238,1,228000.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000020,198,1,106500.0,4,1,1,411,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000021,481,1,99200.0,2,1,1,211,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000023,343,2,670700.0,3,4,3,343,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000025,230,1,250800.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000026,240,1,71600.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000027,227,1,251000.0,4,1,2,412,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000028,447,1,753900.0,2,1,3,213,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000029,310,1,615700.0,3,1,3,313,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000030,473,1,180600.0,2,1,2,212,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000031,192,3,2065400.0,4,4,4,444,1,segmento_1,VIP recientes,"Clientes de alto valor, compra reciente y mayor recurrencia relativa. Son la base de retencion premium.","Proteger margen y lealtad: beneficios selectivos, acceso anticipado, cross-sell premium y programas de fidelizacion."
col_unique_000032,166,2,1821400.0,4,4,4,444,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000033,366,1,94000.0,3,1,1,311,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000034,314,1,257500.0,3,1,2,312,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000036,606,1,126900.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000037,615,1,1019800.0,1,1,4,114,4,segmento_2,Alto valor en riesgo,"Compraron bien, pero llevan mas tiempo sin volver. Hay valor historico que puede perderse.","Campanas win-back con incentivo controlado, mensajes personalizados y recordatorios por categoria comprada."
col_unique_000038,603,1,139600.0,1,1,1,111,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000039,463,1,493800.0,2,1,3,213,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
col_unique_000040,57,2,541500.0,4,4,3,443,3,segmento_3,Activos con potencial,"Clientes recientes con buen gasto relativo, listos para aumentar frecuencia o ticket.","Impulsar segunda compra, bundles, recomendaciones y comunicaciones por afinidad de categoria."
col_unique_000042,407,1,447200.0,2,1,3,213,0,segmento_4,Base estable,Clientes con comportamiento intermedio. Funcionan como base para nutricion y experimentos comerciales.,"Automatizaciones always-on, pruebas A/B de oferta y educacion de categorias complementarias."
col_unique_000044,68,3,2601200.0,4,4,4,444,1,segmento_1,VIP recientes,"Clientes de alto valor, compra reciente y mayor recurrencia relativa. Son la base de retencion premium.","Proteger margen y lealtad: beneficios selectivos, acceso anticipado, cross-sell premium y programas de fidelizacion."
col_unique_000048,646,1,400900.0,1,1,3,113,2,segmento_5,Dormidos de bajo retorno,Baja frecuencia y poca recencia. Conviene no sobreinvertir hasta validar respuesta.,"Reactivacion de bajo costo, audiencias lookalike separadas y supresion gradual si no responden."
